class,precision,recall,f1,support
Лестницы,0.0,0.0,0.0,1
Дерево,0.2759,1.0,0.4324,8
Бортовой камень,0.7363,0.9542,0.8312,240
Красная линия,0.725,1.0,0.8406,58
Отметки высот,0.8119,0.9281,0.8661,1516
Деревянный настил,0.7692,1.0,0.8696,20
Грунт,0.9946,0.8509,0.9172,436
Горизонтали,0.9178,0.971,0.9437,69
Щебень,0.9485,1.0,0.9735,92
Газон,0.9926,0.957,0.9745,1257
no_l2,0.9696,0.9799,0.9747,4132
Прочие трубопроводы,0.9565,1.0,0.9778,66
Ливневая канализация,0.9638,1.0,0.9816,373
Деревья,0.9696,0.9965,0.9829,2303
Сети связи,0.9822,0.9851,0.9837,336
Инженерная инфраструктура,0.9961,0.9816,0.9888,1033
Теплосеть,0.9795,1.0,0.9896,143
Условные обозначения,0.996,0.9919,0.9939,744
Координаты,0.9979,0.9911,0.9945,52001
Канализация бытовая,0.9933,1.0,0.9967,298
Асфальт,0.9956,0.9985,0.9971,1357
ЖД пути,0.9945,1.0,0.9973,182
Прочие кабели,0.9986,0.9959,0.9973,734
Плитка,0.9954,1.0,0.9977,432
Электроснабжение,1.0,0.9993,0.9997,1439
Наружное освещение,1.0,1.0,1.0,4
Ограждение,1.0,1.0,1.0,28
Памятники,1.0,1.0,1.0,142
Песок,1.0,1.0,1.0,4
Гравий,1.0,1.0,1.0,148
Газопровод,1.0,1.0,1.0,105
Водопровод,1.0,1.0,1.0,413
